id,name,icon,color,description,status,trigger,accountability,options,operation,date_created,user_created
b5375bf1-6b78-4b8d-965c-fe64b75228e5,"Contact form honeypot",bolt,,"Detect submitted form honeypot and silently reject submission",active,event,activity,"{""type"":""filter"",""scope"":[""items.create""],""collections"":[""contactFormResponses""],""return"":""$last""}",ec601855-b231-4d38-b59c-80bfcedbdff1,1697032164000,e2052a5a-3349-4dd9-92ca-7e7cd573a1c8
cf79f445-dd07-4a2f-be3a-33ad23f2421f,"Contact form email notification",mail,,"Send a notification email on a new contact form submission",active,event,all,"{""type"":""action"",""scope"":[""items.create""],""collections"":[""contactFormResponses""]}",97d25eb6-8d0f-4211-8011-a4172af91263,1703259699000,e2052a5a-3349-4dd9-92ca-7e7cd573a1c8
